sep=,
Section,Contract field,CQG,Schwab,OANDA,MT5,Note
META,,,,,,
,adapter id,cqg,schwab,oanda,mt5,
,label,CQG,Schwab,OANDA,MT5,
,capabilities.marketData,true,true,true,true,
,capabilities.trading,true,true (reads only; exec deferred),true,true,Schwab: account reads wired; execution deferred (ADR 0003)
,capabilities.depth,true,false,false,true,depth = CQG + MT5
,,,,,,
MARKET DATA,,,,,,
,resolveSymbol.instrument.id,cm.contractId,echoes requested symbol,instrument name,symbol,
,instrument.tickSize,cm.tickSize || scale,quote.tick || 10^-decimals fallback,10^-displayPrecision,SYMBOL_TRADE_TICK_SIZE,Schwab: real tick for futures (quote.tick); decimal-inference fallback for equities
,instrument.priceDecimals,from cm.correctPriceScale,decimalsOf(quote) inferred,displayPrecision,SYMBOL_DIGITS,
,instrument.tickValue,cm.tickValue || undefined,quote.tickAmount,-,SYMBOL_TRADE_TICK_VALUE,Schwab: futures only (=1.25 /MES)
,instrument.minVolume,-,-,-,SYMBOL_VOLUME_MIN,
,instrument.volumeStep,-,-,-,SYMBOL_VOLUME_STEP,
,instrument.maxVolume,-,-,-,-,
,instrument.contractSize,-,reference.futureMultiplier,-,SYMBOL_TRADE_CONTRACT_SIZE,Schwab: futures only (=5 /MES)
,,,,,,
QUOTE,,,,,,
,bid,best-bid (type1) * scale,stream content[].1; REST quote.bidPrice,bids[0].price or closeoutBid,tick.bid,
,ask,best-ask (type2) * scale,stream content[].2; REST quote.askPrice,asks[0].price or closeoutAsk,tick.ask,
,last,trade (type0) * scale,stream content[].3; REST quote.lastPrice,(bid+ask)/2 midpoint,(bid+ask)/2,OANDA has no last -> midpoint
,bidSize,dec(volume) type1,-,-,-,Schwab REST quote.bidSize / stream f4 available; not emitted
,askSize,dec(volume) type2,-,-,-,Schwab REST quote.askSize / stream f5 available; not emitted
,lastSize,dec(volume) type0,-,-,-,Schwab REST quote.lastSize available; not emitted
,,,,,,
BAR,,,,,,
,time,(baseMs + barUtcTime)/1000,datetime/1000,parseFloat(candle.time),MqlRates.time,
,open,scaledOpenPrice * scale,c.open,mid.o,MqlRates.open,
,high,scaledHighPrice * scale,c.high,mid.h,MqlRates.high,
,low,scaledLowPrice * scale,c.low,mid.l,MqlRates.low,
,close,scaledClosePrice * scale,c.close,mid.c,MqlRates.close,
,volume,dec(volume) ?? scaledVolume,c.volume,candle.volume,tick_volume,OANDA volume = tick count
,extra,openInterest / tickVolume / settlement / exchangeClose,-,-,live (forming-bar flag),provider-specific extras
,,,,,,
DOM,,,,,,
,bids,quotes type3 (desc),-,-,MarketBook (price/qty),depth = CQG + MT5
,asks,quotes type4 (asc),-,-,MarketBook (price/qty),depth = CQG + MT5
,,,,,,
ORDER,,,,,,
,id,os.orderId,-,orderCreate/Fill txn id,ORDER_TICKET,
